@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute left_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_vel numeric

@data
1,'2024/02/25 11:51:35:093',1,525.683228,303.309845,508.165222,284.948975,498.580505,262.502838,491.063232,243.077805,499.791534,222.295563,525.446228,227.37384,525.552979,195.642761,526.481873,177.733093,532.493408,164.169937,544.012451,231.503448,510.954773,222.022842,508.831757,248.192596,515.169922,254.87326,556.084351,240.052963,520.226868,234.585022,517.89679,259.294067,526.177917,262.837097,571.764648,257.356812,538.458313,245.880112,529.479492,261.680786,538.081116,266.990417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
2,'2024/02/25 11:51:35:198',1,526.369141,306.130737,507.551605,287.969574,496.503448,265.612305,488.190552,246.078094,495.897858,224.840637,523.507446,229.376053,522.497742,197.900162,522.915161,179.744507,528.106079,166.247635,542.521851,233.818619,507.68512,224.721619,505.795563,250.925873,512.457397,257.545471,554.022034,242.270828,517.262939,237.66066,515.36322,261.572662,523.663696,265.560059,569.917664,258.693451,536.268677,248.708359,527.302307,264.012238,536.350159,269.115448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
3,'2024/02/25 11:51:35:303',1,526.689514,307.480286,508.383606,288.64856,497.691101,266.415955,488.805725,247.006729,495.906799,225.543991,524.295837,230.596817,522.890259,198.604919,523.328491,180.508408,528.706787,167.468384,543.261047,234.824127,507.61908,224.583664,505.845062,251.464111,512.609436,258.510193,554.576416,242.908966,517.809204,238.043915,515.804077,262.64856,523.950623,266.756287,569.943909,259.088287,535.896973,249.079865,527.548157,265.346619,536.44989,270.550812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
4,'2024/02/25 11:51:35:409',1,526.673523,307.288116,508.797791,287.804657,498.216858,265.970703,489.745178,247.213272,496.756927,226.458038,524.787659,231.049408,523.267151,199.263382,523.6073,181.195908,528.531677,167.860535,543.639771,235.312378,507.560394,224.98555,506.190125,251.761063,513.495911,258.532928,554.611084,242.741638,517.865356,238.544144,516.284729,263.089142,525.001099,266.867981,570.697327,258.584656,536.034912,249.427521,528.49469,265.939056,538.1745,270.803101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
5,'2024/02/25 11:51:35:515',1,528.661499,303.09259,510.80246,285.053467,498.625732,262.927429,490.136108,243.480347,497.490479,222.058929,524.200867,226.821381,523.976807,196.43721,524.311523,177.384567,529.257935,163.218552,541.775757,230.053375,509.86438,221.586578,507.21283,246.401688,512.141724,255.83342,553.753296,237.518066,520.074585,234.939758,516.897949,258.204468,522.320007,264.807495,570.544373,254.204147,537.454712,245.832535,528.780029,260.51947,532.746216,267.476135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
6,'2024/02/25 11:51:35:619',1,529.268555,295.416656,510.047852,277.696014,497.316315,255.422394,488.946533,235.952164,494.990051,214.446548,522.30957,218.253815,522.439575,187.972549,522.266113,169.171204,526.601501,155.64566,537.934265,221.61673,507.49115,213.172699,507.077484,237.858521,512.606689,247.552872,550.501892,229.029694,518.926331,226.678497,517.149902,249.336487,522.943176,256.28595,566.156738,244.995575,535.57074,236.811966,529.123047,251.100632,534.109009,259.165466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
7,'2024/02/25 11:51:35:729',1,524.99707,277.746674,505.387634,261.162598,491.752502,239.883392,482.52475,220.60968,486.299622,198.631897,516.105225,202.430588,514.830139,173.318817,514.2677,155.130478,517.633423,141.377274,530.935364,204.973984,501.070313,197.176331,499.908997,221.972321,505.565216,231.572021,542.639587,210.818344,511.711426,208.707962,510.297974,230.916534,516.695679,238.73056,555.027954,223.736572,527.920349,218.309723,521.190552,233.271393,526.473145,242.146545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
8,'2024/02/25 11:51:35:829',1,520.241638,259.489349,501.745972,244.508606,487.155396,223.059372,478.07309,204.813873,481.240906,181.905991,511.390045,185.634354,509.622223,156.721802,508.451294,138.52478,511.472961,124.894867,525.779297,187.5634,495.381348,180.771927,494.352173,205.098785,500.538055,214.120453,538.107239,193.420624,505.288818,191.776657,504.586975,214.117706,510.921967,221.109299,551.048462,206.137054,521.801147,200.715439,515.446045,216.049683,520.710815,224.246948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
9,'2024/02/25 11:51:35:933',1,515.197083,242.952316,495.126678,226.462158,481.195984,205.332123,472.601685,188.211044,475.114166,165.989716,505.634155,169.693054,503.415833,141.438049,501.613495,123.317581,503.372437,109.865227,519.417358,171.406738,488.975159,165.333878,487.879639,188.836151,493.901184,197.553696,531.371521,176.569122,499.43222,175.086029,498.582306,198.274475,505.45285,205.517517,546.17749,188.869965,514.852112,183.64563,509.926208,199.371124,516.242493,207.972107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
10,'2024/02/25 11:51:36:036',1,513.926453,235.197144,493.699524,220.128708,478.493469,198.198944,469.165375,180.880112,470.368591,158.157578,502.767303,160.289474,500.461792,131.183533,498.177734,113.665268,498.72821,100.343025,516.790039,161.969635,483.561768,157.245972,484.089355,181.292496,490.879059,188.961121,528.063171,167.400909,493.624817,167.385986,494.392395,190.28421,501.885651,196.57576,541.506714,180.114777,509.772827,175.573486,504.876068,191.45076,511.772888,198.994904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
