@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1,'2024/02/24 23:24:23:926',1,83.583412,62.505741,0,0,0,?
2,'2024/02/24 23:24:23:976',1,83.616226,62.441223,0,0,0,?
3,'2024/02/24 23:24:24:009',1,83.812981,62.345154,0,0,0,?
4,'2024/02/24 23:24:24:030',1,84.229576,62.044117,0,0,0,?
5,'2024/02/24 23:24:24:048',1,84.036942,62.222958,0,0,0,?
6,'2024/02/24 23:24:24:083',1,83.881363,62.266621,0,0,0,?
7,'2024/02/24 23:24:24:118',1,83.567902,62.035614,0,0,0,?
8,'2024/02/24 23:24:24:152',1,83.694931,62.361599,0,0,0,?
9,'2024/02/24 23:24:24:187',1,84.153099,62.404778,0,0,0,?
10,'2024/02/24 23:24:24:217',1,83.572624,62.230392,0,0,0,?
11,'2024/02/24 23:24:24:251',1,84.007614,62.217892,0,0,0,?
12,'2024/02/24 23:24:24:286',1,83.440933,62.304268,0,0,0,?
13,'2024/02/24 23:24:24:321',1,83.659142,62.13641,0,0,0,?
14,'2024/02/24 23:24:24:350',1,83.445595,61.950558,0,0,0,?
15,'2024/02/24 23:24:24:414',1,83.202835,62.045601,0,0,0,?
16,'2024/02/24 23:24:24:451',1,83.029373,61.645287,0,0,0,?
17,'2024/02/24 23:24:24:484',1,82.803238,62.265442,0,0,0,?
18,'2024/02/24 23:24:24:519',1,82.649979,61.809944,0,0,0,?
19,'2024/02/24 23:24:24:553',1,82.696213,61.835495,0,0,0,?
20,'2024/02/24 23:24:24:582',1,82.699356,61.839897,0,0,0,?
21,'2024/02/24 23:24:24:611',1,82.491699,61.965977,0,0,0,?
22,'2024/02/24 23:24:24:653',1,83.955231,62.651711,0,0,0,?
23,'2024/02/24 23:24:24:687',1,83.803711,62.562332,0,0,0,?
24,'2024/02/24 23:24:24:721',1,83.510368,62.628963,0,0,0,?
25,'2024/02/24 23:24:24:776',1,81.958755,61.486248,0,0,0,?
26,'2024/02/24 23:24:24:803',1,83.687149,62.428635,0,0,0,?
27,'2024/02/24 23:24:24:843',1,83.546562,62.422943,0,0,0,?
28,'2024/02/24 23:24:24:878',1,83.383141,62.46809,0,0,0,?
29,'2024/02/24 23:24:24:914',1,83.008347,62.344265,0,0,0,?
30,'2024/02/24 23:24:24:943',1,83.029778,62.373592,0,0,0,?
31,'2024/02/24 23:24:24:972',1,81.783829,61.693554,0,0,0,?
32,'2024/02/24 23:24:24:982',1,83.343773,62.690506,0,0,0,?
33,'2024/02/24 23:24:25:013',1,82.83345,62.283066,0,0,0,?
34,'2024/02/24 23:24:25:052',1,82.915878,62.351646,0,0,0,?
35,'2024/02/24 23:24:25:111',1,82.905746,62.040821,0,0,0,?
36,'2024/02/24 23:24:25:146',1,82.922913,62.40168,0,0,0,?
37,'2024/02/24 23:24:56:145',2,54.560909,-17.760777,0,0,0,?
38,'2024/02/24 23:24:56:173',2,53.817589,-19.121101,0,0,0,?
39,'2024/02/24 23:24:56:202',2,54.002754,-19.275742,0,0,0,?
40,'2024/02/24 23:24:56:226',2,53.90522,-18.905327,0,0,0,?
41,'2024/02/24 23:24:56:296',2,54.28442,-19.957409,0,0,0,?
42,'2024/02/24 23:24:56:330',2,54.227886,-19.348125,0,0,0,?
43,'2024/02/24 23:24:56:365',2,54.777977,-18.8358,0,0,0,?
44,'2024/02/24 23:24:56:393',2,55.027599,-19.068714,0,0,0,?
45,'2024/02/24 23:24:56:417',2,55.284691,-19.125084,0,0,0,?
46,'2024/02/24 23:24:56:434',2,55.298595,-19.460682,0,0,0,?
47,'2024/02/24 23:24:56:470',2,54.61916,-18.639851,0,0,0,?
48,'2024/02/24 23:24:56:505',2,54.504059,-18.6194,0,0,0,?
49,'2024/02/24 23:24:56:539',2,54.739208,-17.805691,0,0,0,?
50,'2024/02/24 23:24:56:574',2,55.000793,-17.416107,0,0,0,?
51,'2024/02/24 23:24:56:603',2,54.560165,-17.87178,0,0,0,?
52,'2024/02/24 23:24:56:638',2,54.426098,-17.924282,0,0,0,?
53,'2024/02/24 23:24:56:672',2,54.527924,-18.421585,0,0,0,?
54,'2024/02/24 23:24:56:707',2,55.700256,-18.587006,0,0,0,?
55,'2024/02/24 23:24:56:742',2,55.656624,-18.397667,0,0,0,?
56,'2024/02/24 23:24:56:789',2,55.388458,-18.759018,0,0,0,?
57,'2024/02/24 23:24:56:806',2,55.315647,-18.085445,0,0,0,?
58,'2024/02/24 23:24:56:829',2,55.212509,-18.262619,0,0,0,?
59,'2024/02/24 23:24:56:876',2,54.875851,-18.481579,0,0,0,?
60,'2024/02/24 23:24:56:910',2,54.276268,-19.004143,0,0,0,?
61,'2024/02/24 23:24:56:939',2,54.243019,-18.980659,0,0,0,?
62,'2024/02/24 23:24:56:980',2,54.06266,-18.253387,0,0,0,?
63,'2024/02/24 23:24:57:009',2,54.19175,-17.770531,0,0,0,?
64,'2024/02/24 23:24:57:032',2,54.407215,-17.413074,0,0,0,?
65,'2024/02/24 23:24:57:067',2,54.211037,-17.495583,0,0,0,?
66,'2024/02/24 23:24:57:108',2,54.5765,-16.855606,0,0,0,?
67,'2024/02/24 23:24:57:143',2,54.928837,-16.147442,0,0,0,?
68,'2024/02/24 23:24:57:201',2,54.792282,-16.440613,0,0,0,?
69,'2024/02/24 23:24:57:230',2,54.763214,-16.99868,0,0,0,?
70,'2024/02/24 23:24:57:253',2,54.624222,-17.443657,0,0,0,?
71,'2024/02/24 23:24:57:288',2,54.50383,-17.832016,0,0,0,?
72,'2024/02/24 23:24:57:322',2,54.503372,-17.637207,0,0,0,?
73,'2024/02/24 23:24:57:339',2,54.111843,-18.188694,0,0,0,?
74,'2024/02/24 23:24:57:392',2,54.030247,-17.985622,0,0,0,?
75,'2024/02/24 23:24:57:428',2,54.399178,-17.698715,0,0,0,?
76,'2024/02/24 23:24:57:456',2,54.133301,-17.883621,0,0,0,?
77,'2024/02/24 23:24:57:490',2,53.851376,-18.491703,0,0,0,?
78,'2024/02/24 23:24:57:508',2,53.797417,-18.305542,0,0,0,?
79,'2024/02/24 23:24:57:537',2,53.726807,-18.375717,0,0,0,?
80,'2024/02/24 23:24:57:572',2,53.759392,-18.48539,0,0,0,?
81,'2024/02/24 23:24:57:607',2,54.199734,-18.559887,0,0,0,?
82,'2024/02/24 23:24:57:636',2,53.964615,-18.864815,0,0,0,?
83,'2024/02/24 23:24:57:671',2,53.912743,-18.95285,0,0,0,?
84,'2024/02/24 23:24:57:706',2,54.137276,-18.917915,0,0,0,?
