@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute lefthand {0,1,2,3,4}
@attribute righthand numeric

@data
1,'2024/02/21 00:48:15:187',1,110.676872,294.213715,1,0
2,'2024/02/21 00:48:15:236',1,110.703339,291.634338,1,0
3,'2024/02/21 00:48:15:236',1,111.791901,293.081787,1,0
4,'2024/02/21 00:48:15:248',1,112.257614,292.604004,1,0
5,'2024/02/21 00:48:15:283',1,111.827148,291.401276,1,0
6,'2024/02/21 00:48:15:318',1,111.598579,298.535583,1,0
7,'2024/02/21 00:48:15:382',1,110.849533,278.090576,1,0
8,'2024/02/21 00:48:15:410',1,110.847847,302.677338,1,0
9,'2024/02/21 00:48:15:448',1,110.700562,280.498169,1,0
10,'2024/02/21 00:48:15:486',1,111.029694,285.059998,1,0
11,'2024/02/21 00:48:15:527',1,111.58622,293.407898,1,0
12,'2024/02/21 00:48:15:556',1,112.724274,286.614594,1,0
13,'2024/02/21 00:48:15:585',1,112.692032,222.382309,1,0
14,'2024/02/21 00:48:15:620',1,113.621918,284.523438,1,0
15,'2024/02/21 00:48:15:654',1,113.510399,347.917694,1,0
16,'2024/02/21 00:48:15:684',1,113.000076,322.689056,1,0
17,'2024/02/21 00:48:15:718',1,115.022881,329.341614,1,0
18,'2024/02/21 00:48:15:759',1,114.180107,339.022095,1,0
19,'2024/02/21 00:48:15:783',1,113.821762,344.503357,1,0
20,'2024/02/21 00:48:15:829',1,114.861115,346.566833,1,0
21,'2024/02/21 00:48:15:852',1,115.937462,346.64502,1,0
22,'2024/02/21 00:48:15:895',1,115.851372,345.404236,1,0
23,'2024/02/21 00:48:15:938',1,115.430313,343.370575,1,0
24,'2024/02/21 00:48:15:980',1,115.134918,341.764771,1,0
25,'2024/02/21 00:48:16:020',1,115.063446,340.933899,1,0
26,'2024/02/21 00:48:16:043',1,115.09549,338.408478,1,0
27,'2024/02/21 00:48:16:084',1,115.308495,338.373138,1,0
28,'2024/02/21 00:48:32:321',2,260.10968,346.037537,2,0
29,'2024/02/21 00:48:32:361',2,259.782684,347.851776,2,0
30,'2024/02/21 00:48:32:390',2,259.345947,344.842773,2,0
31,'2024/02/21 00:48:32:431',2,259.581451,341.428925,2,0
32,'2024/02/21 00:48:32:466',2,259.952667,337.992096,2,0
33,'2024/02/21 00:48:32:495',2,259.829742,336.73587,2,0
34,'2024/02/21 00:48:32:530',2,259.854736,334.894897,2,0
35,'2024/02/21 00:48:32:570',2,259.507446,333.107025,2,0
36,'2024/02/21 00:48:32:593',2,258.870667,330.747131,2,0
37,'2024/02/21 00:48:32:628',2,260.088837,318.638153,2,0
38,'2024/02/21 00:48:32:657',2,259.483093,378.374939,2,0
39,'2024/02/21 00:48:32:704',2,260.757446,331.677521,2,0
40,'2024/02/21 00:48:32:738',2,260.997192,337.822357,2,0
