@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
491,'2024/02/29 01:14:37:647',8,343.080475,146.288116,353.460388,138.515305,334.153442,137.390839,367.309418,146.083542,321.748718,147.23436,385.63736,200.65126,306.79361,202.775742,400.538818,272.241364,292.647339,272.770569,409.030487,338.940948,292.690552,338.382477,377.8573,326.373749,318.311798,325.289337,366.466644,429.217865,331.397217,430.334534,0,0,0,0,1,0,0,0,0,?
492,'2024/02/29 01:14:37:681',8,343.155945,146.198273,353.678741,138.46373,334.17038,137.386948,367.343689,146.067291,321.752686,147.268921,385.582428,200.699219,306.800781,202.766083,400.454773,272.209839,292.654114,272.792786,409.137573,339.108246,292.95108,338.730255,377.951721,326.475311,318.317596,325.44455,366.192047,429.412506,331.305573,430.746155,0,0,0,0,1,0,0,0,0,?
493,'2024/02/29 01:14:37:705',8,343.415192,145.884415,353.796204,138.21962,334.291534,137.345291,367.373352,146.154953,321.763763,147.374176,385.691498,200.744766,306.952057,202.525009,400.536774,272.221191,292.677948,272.915039,409.21936,339.061859,292.80246,338.564514,378.247742,326.537018,318.61319,325.505463,366.417297,429.544464,331.17276,430.865631,0,0,0,0,1,0,0,0,0,?
494,'2024/02/29 01:14:37:745',8,343.456696,145.887589,353.823364,138.16243,334.457275,137.314575,367.221802,146.508301,321.78772,147.399902,385.741699,200.791458,306.752502,202.78038,400.568726,272.439209,292.716492,273.037354,409.286835,339.408997,292.931671,338.674988,378.332886,326.576447,318.64325,325.454956,366.530762,430.553925,331.076019,430.508423,0,0,0,0,1,0,0,0,0,?
495,'2024/02/29 01:14:37:769',8,343.375244,145.842621,353.614227,137.940964,334.230804,137.323669,367.189606,146.521683,321.79071,147.782227,385.935364,200.853027,306.732178,202.834076,400.691345,272.309845,292.737885,273.348114,409.263245,339.088745,292.716034,338.594482,378.293213,326.686493,318.601776,325.600403,366.557739,430.832184,331.22818,430.361267,0,0,0,0,1,0,0,0,0,?
496,'2024/02/29 01:14:37:809',8,343.455231,145.724686,353.81897,137.92894,334.721497,137.22525,367.168213,146.518768,321.813416,147.343262,385.940979,200.885239,306.757751,202.902405,400.731476,272.22937,292.722534,273.366852,409.373596,339.356873,292.786194,338.554443,378.196442,326.9328,318.495911,325.848938,366.410797,433.25354,331.226868,429.989532,0,0,0,0,1,0,0,0,0,?
497,'2024/02/29 01:14:37:844',8,343.214478,146.224228,353.813751,137.999756,334.70874,137.284698,367.586975,146.15181,321.854614,147.095688,386.062134,200.783783,306.900482,202.841156,400.696716,271.915527,292.774353,273.263336,409.375732,339.225189,292.702057,338.355499,378.397034,326.835052,318.673218,325.769073,366.427582,433.171478,331.278381,429.569397,0,0,0,0,1,0,0,0,0,?
498,'2024/02/29 01:14:37:867',8,343.491547,145.864731,353.856995,137.907135,334.743011,137.231277,367.499664,146.143082,321.848816,147.025055,386.050385,200.622833,307.172058,202.759644,400.779266,271.999847,292.775818,273.290649,409.441864,339.280487,293.155029,338.641968,378.439209,327.117645,318.715515,326.133301,366.120636,434.427124,331.184631,430.161407,0,0,0,0,1,0,0,0,0,?
499,'2024/02/29 01:14:37:909',8,343.537415,145.866623,353.876099,138.037781,334.99231,137.3013,367.522095,146.197586,321.749451,146.507843,386.044342,200.549988,307.178375,202.59848,400.816193,272.088989,292.865326,273.570251,409.451324,339.467163,292.969879,338.600006,378.418274,327.007416,318.736145,326.004517,366.432617,433.739075,331.038544,429.665497,0,0,0,0,1,0,0,0,0,?
500,'2024/02/29 01:14:37:948',8,343.639282,145.758652,353.957764,137.694031,335.22467,137.298203,367.446045,146.316498,321.852844,146.69577,386.207214,200.549591,307.298279,202.556366,400.8862,272.149536,292.973572,273.565308,409.490784,339.608093,293.207642,338.63559,378.587006,326.8284,318.975586,325.998871,366.874054,430.554626,331.201538,429.801605,0,0,0,0,1,0,0,0,0,?
