@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute gain numeric
@attribute soundOn {0,1,2}

@data
194,'2024/02/25 22:34:31:619',2,2.843114,1,0.9,?
195,'2024/02/25 22:34:31:666',2,2.844388,1,0.9,?
196,'2024/02/25 22:34:31:689',2,2.844578,1,0.9,?
197,'2024/02/25 22:34:31:724',2,2.842696,1,0.9,?
198,'2024/02/25 22:34:31:753',2,2.846182,1,0.9,?
199,'2024/02/25 22:34:31:788',2,2.84727,1,0.9,?
200,'2024/02/25 22:34:31:817',2,2.847361,1,0.9,?
201,'2024/02/25 22:34:31:858',2,2.846395,1,0.9,?
202,'2024/02/25 22:34:31:899',2,2.844616,1,0.9,?
203,'2024/02/25 22:34:31:921',2,2.845489,1,0.9,?
204,'2024/02/25 22:34:31:957',2,2.847167,1,0.9,?
205,'2024/02/25 22:34:31:997',2,2.84912,1,0.9,?
206,'2024/02/25 22:34:32:020',2,2.850403,1,0.9,?
207,'2024/02/25 22:34:32:055',2,2.84975,1,0.9,?
208,'2024/02/25 22:34:32:085',2,2.854162,1,0.9,?
209,'2024/02/25 22:34:32:119',2,2.856714,1,0.9,?
210,'2024/02/25 22:34:32:154',2,2.855974,1,0.9,?
211,'2024/02/25 22:34:32:188',2,2.857666,1,0.9,?
212,'2024/02/25 22:34:32:217',2,2.858047,1,0.9,?
213,'2024/02/25 22:34:32:258',2,2.860682,1,0.9,?
214,'2024/02/25 22:34:32:299',2,2.862121,1,0.9,?
215,'2024/02/25 22:34:32:322',2,2.863025,1,0.9,?
216,'2024/02/25 22:34:32:351',2,2.862587,1,0.9,?
217,'2024/02/25 22:34:32:386',2,2.867239,1,0.9,?
218,'2024/02/25 22:34:32:426',2,2.861857,1,0.9,?
219,'2024/02/25 22:34:32:450',2,2.862488,1,0.9,?
220,'2024/02/25 22:34:32:490',2,2.859573,1,0.9,?
221,'2024/02/25 22:34:32:513',2,2.860224,1,0.9,?
222,'2024/02/25 22:34:32:560',2,2.860023,1,0.9,?
223,'2024/02/25 22:34:32:601',2,2.861037,1,0.9,?
224,'2024/02/25 22:34:32:624',2,2.861078,1,0.9,?
225,'2024/02/25 22:34:32:659',2,2.864941,1,0.9,?
226,'2024/02/25 22:34:32:688',2,2.864915,1,0.9,?
227,'2024/02/25 22:34:32:717',2,2.867681,1,0.9,?
228,'2024/02/25 22:34:32:757',2,2.868506,1,0.9,?
229,'2024/02/25 22:34:32:787',2,2.867326,1,0.9,?
230,'2024/02/25 22:34:32:821',2,2.869092,1,0.9,?
231,'2024/02/25 22:34:32:857',2,2.869188,1,0.9,?
232,'2024/02/25 22:34:32:897',2,2.871431,1,0.9,?
233,'2024/02/25 22:34:32:920',2,2.871895,1,0.9,?
234,'2024/02/25 22:34:32:955',2,2.870392,1,0.9,?
235,'2024/02/25 22:34:33:001',2,2.873586,1,0.9,?
236,'2024/02/25 22:34:33:019',2,2.874464,1,0.9,?
237,'2024/02/25 22:34:33:054',2,2.874389,1,0.9,?
238,'2024/02/25 22:34:33:100',2,2.877598,1,0.9,?
239,'2024/02/25 22:34:33:123',2,2.878333,1,0.9,?
240,'2024/02/25 22:34:33:158',2,2.876573,1,0.9,?
241,'2024/02/25 22:34:33:187',2,2.871794,1,0.9,?
242,'2024/02/25 22:34:33:222',2,2.870112,1,0.9,?
243,'2024/02/25 22:34:33:251',2,2.870216,1,0.9,?
244,'2024/02/25 22:34:33:291',2,2.866456,1,0.9,?
245,'2024/02/25 22:34:33:332',2,2.866778,1,0.9,?
246,'2024/02/25 22:34:33:355',2,2.865233,1,0.9,?
247,'2024/02/25 22:34:33:390',2,2.865351,1,0.9,?
248,'2024/02/25 22:34:33:425',2,2.865017,1,0.9,?
249,'2024/02/25 22:34:33:460',2,2.864243,1,0.9,?
250,'2024/02/25 22:34:33:483',2,2.863633,1,0.9,?
251,'2024/02/25 22:34:33:518',2,2.863586,1,0.9,?
252,'2024/02/25 22:34:33:553',2,2.8626,1,0.9,?
253,'2024/02/25 22:34:33:599',2,2.866678,1,0.9,?
254,'2024/02/25 22:34:33:622',2,2.865783,1,0.9,?
255,'2024/02/25 22:34:33:657',2,2.870867,1,0.9,?
256,'2024/02/25 22:34:33:687',2,2.873852,1,0.9,?
257,'2024/02/25 22:34:33:728',2,2.875027,1,0.9,?
258,'2024/02/25 22:34:33:768',2,2.875745,1,0.9,?
259,'2024/02/25 22:34:33:791',2,2.876033,1,0.9,?
260,'2024/02/25 22:34:33:832',2,2.874132,1,0.9,?
261,'2024/02/25 22:34:33:854',2,2.873008,1,0.9,?
262,'2024/02/25 22:34:33:889',2,2.869792,1,0.9,?
263,'2024/02/25 22:34:33:919',2,2.869733,1,0.9,?
264,'2024/02/25 22:34:33:953',2,2.866718,1,0.9,?
265,'2024/02/25 22:34:33:988',2,2.86692,1,0.9,?
266,'2024/02/25 22:34:34:017',2,2.865374,1,0.9,?
267,'2024/02/25 22:34:34:057',2,2.866858,1,0.9,?
268,'2024/02/25 22:34:34:098',2,2.864723,1,0.9,?
269,'2024/02/25 22:34:34:121',2,2.864419,1,0.9,?
270,'2024/02/25 22:34:34:157',2,2.861742,1,0.9,?
271,'2024/02/25 22:34:34:186',2,2.864973,1,0.9,?
272,'2024/02/25 22:34:34:220',2,2.862162,1,0.9,?
273,'2024/02/25 22:34:34:261',2,2.86627,1,0.9,?
274,'2024/02/25 22:34:34:290',2,2.866206,1,0.9,?
