@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
24,'2024/02/18 15:34:03:348',7,1,0,1.159139,1,0.501855,1,1,0,0,0
25,'2024/02/18 15:34:05:616',7,1,0,0.820248,1,0.686477,1,1,0,0,0
26,'2024/02/18 15:34:07:481',7,1,0,0.790341,1,0.675777,1,1,0,0,0
27,'2024/02/18 15:34:09:216',7,1,0,0.766849,1,0.675989,1,1,0,0,0
28,'2024/02/18 15:34:11:085',7,1,0,0.747008,1,0.672637,1,1,0,0,0
29,'2024/02/18 15:34:13:952',7,1,0,0.769101,1,0.665127,1,1,0,0,0
30,'2024/02/18 15:34:15:889',7,1,0,0.82832,1,0.606518,1,1,0,0,0
31,'2024/02/18 15:35:08:380',8,1,1,0.693556,1,0.327954,1,0,1,0,0
32,'2024/02/18 15:35:11:046',8,1,1,0.645372,1,0.362433,1,0,1,0,0
33,'2024/02/18 15:35:13:514',8,1,0,1.029606,1,0.20256,1,0,1,0,0
34,'2024/02/18 15:35:16:048',8,1,0,1.049885,1,0.33468,1,0,1,0,0
35,'2024/02/18 15:35:18:849',8,1,0,1.147358,1,0.66099,1,0,1,0,0
36,'2024/02/18 15:35:21:320',8,1,0,1.004278,1,0.167785,1,0,1,0,0
37,'2024/02/18 15:35:23:587',8,1,0,1.114565,1,0.188556,1,0,1,0,0
38,'2024/02/18 15:41:50:961',9,0,0,2.483017,0,2.470596,0,0,0,0,0
39,'2024/02/18 15:41:51:033',9,0,0,2.483037,0,2.470598,0,0,0,0,0
40,'2024/02/18 15:41:51:098',9,0,0,2.483122,0,2.47075,0,0,0,0,0
41,'2024/02/18 15:41:51:162',9,0,0,2.483158,0,2.471365,0,0,0,0,0
42,'2024/02/18 15:41:51:230',9,0,0,2.483106,0,2.471383,0,0,0,0,0
43,'2024/02/18 15:41:51:297',9,0,0,2.483069,0,2.47139,0,0,0,0,0
44,'2024/02/18 15:41:51:364',9,0,0,2.482919,0,2.471325,0,0,0,0,0
45,'2024/02/18 15:41:51:429',9,0,0,2.482966,0,2.471351,0,0,0,0,0
46,'2024/02/18 15:41:51:496',9,0,0,2.483649,0,2.471667,0,0,0,0,0
47,'2024/02/18 15:41:51:561',9,0,0,2.483252,0,2.47105,0,0,0,0,0
48,'2024/02/18 15:41:51:630',9,0,0,2.483215,0,2.471029,0,0,0,0,0
49,'2024/02/18 15:41:51:695',9,0,0,2.482784,0,2.470657,0,0,0,0,0
50,'2024/02/18 15:43:03:963',10,0,0,1.464787,0,1.483103,0,0,0,0,0
51,'2024/02/18 15:43:04:031',10,0,0,1.463043,0,1.481991,0,0,0,0,0
52,'2024/02/18 15:43:04:098',10,0,0,1.461486,0,1.481501,0,0,0,0,0
53,'2024/02/18 15:43:04:165',10,0,0,1.460645,0,1.480363,0,0,0,0,0
54,'2024/02/18 15:43:04:233',10,0,0,1.459709,0,1.479743,0,0,0,0,0
55,'2024/02/18 15:43:04:297',10,0,0,1.459081,0,1.47912,0,0,0,0,0
56,'2024/02/18 15:43:12:969',11,0,0,1.432141,0,1.446009,0,0,0,0,0
57,'2024/02/18 15:43:13:036',11,0,0,1.432093,0,1.445858,0,0,0,0,0
58,'2024/02/18 15:43:13:102',11,0,0,1.432067,0,1.445808,0,0,0,0,0
59,'2024/02/18 15:43:13:169',11,0,0,1.429446,0,1.444072,0,0,0,0,0
60,'2024/02/18 15:43:13:238',11,0,0,1.423259,0,1.440199,0,0,0,0,0
61,'2024/02/18 15:43:13:301',11,0,0,1.422947,0,1.440097,0,0,0,0,0
62,'2024/02/18 15:43:13:368',11,0,0,1.423052,0,1.440038,0,0,0,0,0
63,'2024/02/18 15:43:13:435',11,0,0,1.423136,0,1.439779,0,0,0,0,0
64,'2024/02/18 15:44:47:958',13,1,0,1.219548,1,0.553458,1,1,0,0,0
65,'2024/02/18 15:44:49:751',13,1,0,1.143707,1,0.638979,1,1,0,0,0
66,'2024/02/18 15:44:51:554',13,1,0,1.144851,1,0.64078,1,1,0,0,0
67,'2024/02/18 15:44:53:421',13,1,0,1.148918,1,0.655364,1,1,0,0,0
68,'2024/02/18 15:44:55:223',13,1,0,1.028038,1,0.622464,1,1,0,0,0
69,'2024/02/18 15:44:57:160',13,1,0,1.182753,1,0.575764,1,1,0,0,0
70,'2024/02/18 15:44:58:957',13,1,0,1.067951,1,0.565468,1,1,0,0,0
